id,instruction,input,output,source,topic
17,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, well, it surprises me that that's based on research from out of 2011, um, and I must have missed that. I guess, you know, if it is, um, you know, I do wanna do what's best for my baby and for myself. And if I have to quit drinking, um, I guess ultimately I have to-I make that decision, um, but, um, that's a lot of, uh, information to take in today.","You wanna know that it's the latest and the greatest kind of thing. Um, this is information that, uh, that I have been sharing with you earlier, this is the latest information evidence-based, um, on the latest research since 2011 and, um, a lot of research has gone into what is-what is okay for a mom to consume, like, alcohol. There's the-the evidence that we have, um, but in the end, you choose what's best for you and what's best for your baby. What are your- what are your thoughts on that?",AnnoMI-derived authentic counseling turn,substance-use counseling
18,Provide a non-judgmental counseling response to a person struggling with drug use.,I do not think my drug use is as serious as my family thinks.,"It sounds like you and your family see the situation differently. Rather than judging you, I would like to understand your view. What concerns, if any, do you have about your drug use? Your willingness to talk about this is already a meaningful step. We can work through it gradually.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - readiness
19,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Oh, great.","Okay, hard part's over. So the good news is no cavities.",AnnoMI-derived authentic counseling turn,substance-use counseling
20,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Exactly.,"So, it's-it's not so much that you don't wanna quit in a way, it's almost, ""How could I do it that would work for me?""",AnnoMI-derived authentic counseling turn,substance-use counseling
21,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Thank you, my doctor [unintelligible 00:00:05]","Hi Carrie, thanks for coming in today.",AnnoMI-derived authentic counseling turn,substance-use counseling
22,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,But to me then it's a big thing.,Yeah.,AnnoMI-derived authentic counseling turn,substance-use counseling
23,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, you're right actually, I-I did quit smoking but just last week my mom took Jake for the first time. It was a Friday night, so friends were going out to celebrate a birthday.","What I would recommend is that you avoid over-the-counter cold remedies, keep him away from any friends or family who may have the flu, keep him well hydrated, um, avoid excessive dust, and avoid smoking. And at least that last one's easy because you are an ex-smoker now.",AnnoMI-derived authentic counseling turn,substance-use counseling
24,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I've gone through therapy. Uh, nothing's helped. I finally- I went to the doctor. I was actually in the hospital. They took me to the hospital for a week. That's the longest I quit.",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
25,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"It's fun. It's a- it's a lot of work, long summers taught, but it's fun.",Okay. Couple of years. Great. And how do you like Marching Band?,AnnoMI-derived authentic counseling turn,substance-use counseling
26,Respond as a supportive addiction counselor using motivational interviewing.,I am scared that my drug use is damaging my relationships.,"It sounds like your relationships are very important to you. How has your drug use affected the people you care about, and what change would you most like them to see? There is no need to judge yourself while we explore what happened. Understanding the pattern can help you make a different choice.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - relationships
27,Respond as a supportive addiction counselor using motivational interviewing.,I have been using drugs again and I feel like I am losing control.,Thank you for being honest about that. It sounds like the drug use is feeling increasingly difficult to control. What would you most like to change about your situation right now? You do not have to figure everything out at once. We can focus on one manageable step.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - loss of control
28,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Oh and emphysema the beginning stages of emphysema.,"So, and then you mentioned quite a few things about medical problems. So, um, you mentioned, um, asthma, um, acute bronchitis did you say—",AnnoMI-derived authentic counseling turn,substance-use counseling
29,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"-that's-that's not worth it, either. And I have to slowly build back my trust with my mother because that was that's a big blow. It's little so I guess may seem to other people.",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
30,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah. I mean, at least my closest friends, for sure.",Your friends would be pretty comfortable with that?,AnnoMI-derived authentic counseling turn,substance-use counseling
31,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, you know, I've-I've heard these kinds of things before, but I just- I don't see the evidence. I don't see the risk, you know, I don't, you know, if someone can like prove to me, or show a direct link or something like that.","Well, if we take a look at the low-risk-alcohol drinking guidelines, what it says is for women, um, the safe limits are 10 drinks a week for women and 2 drinks a day. And that's if a woman isn't pregnant. And when it says in the guidelines, as far as drinking, uh, throughout pregnancy, there is no safe amount to drink during pregnancy. So really zero alcohol is, um, the woman should not be drinking any at all. And I'm just wondering what-what are your thoughts on that?",AnnoMI-derived authentic counseling turn,substance-use counseling
32,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, I guess I'm just tired of getting in trouble.","A five? So, I'm curious. Why didn't you pick a lower number like a two or three that would mean you're only a little bit ready to stop drinking?",AnnoMI-derived authentic counseling turn,substance-use counseling
33,"Give a brief, empathetic counseling response focused on recovery and safety.","I want to make healthier choices, but I feel stuck.",Feeling stuck can make change seem overwhelming. What is one small change that feels realistic this week and could move you a little closer to the life you want? There is no need to judge yourself while we explore what happened. Understanding the pattern can help you make a different choice.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - small steps
34,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Marching band since freshman year. So like three years.,Wow. And how long have you been in marching band?,AnnoMI-derived authentic counseling turn,substance-use counseling
35,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,"-um, healing-",AnnoMI-derived authentic counseling turn,substance-use counseling
36,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, I'm not sure if this information is for me, since I've only been drinking once or twice.","As your provider, I'm a little concerned about your health. Drinking alcohol could harm you, and I would like to share some information with you. Is that okay?",AnnoMI-derived authentic counseling turn,substance-use counseling
37,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Okay.,"And, um, I think you should probably stop as soon as possible, like this weekend.",AnnoMI-derived authentic counseling turn,substance-use counseling
38,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I-I don't think I'm drinking that much. I mean, it's-it's mainly for social gatherings. Like it's nothing that I do, like by myself or whatever. It's just the—",How much are you drinking?,AnnoMI-derived authentic counseling turn,substance-use counseling
39,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, and—",Nice.,AnnoMI-derived authentic counseling turn,substance-use counseling
40,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Exactly.,-correct?,AnnoMI-derived authentic counseling turn,substance-use counseling
41,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, yeah. Okay.","Okay. Well, smoking really is really bad for you, you know. It causes things like lung cancer, emphysema, heart disease-",AnnoMI-derived authentic counseling turn,substance-use counseling
42,Use motivational interviewing principles to respond to this substance-use concern.,Part of me wants recovery and another part of me still wants to use.,"It is possible to have mixed feelings about recovery. What are the strongest reasons you want to stop, and what do you feel you would be giving up by stopping? You do not have to figure everything out at once. We can focus on one manageable step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - mixed feelings
43,Use motivational interviewing principles to respond to this substance-use concern.,"My family keeps telling me to get help, but I do not know where to start.",Reaching out can be a strong first step. Would you be open to talking with a qualified addiction counselor or healthcare professional about support options that fit your situation?,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - professional help
44,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Maybe a little bit.,"Well, according to your chart, your blood pressure has gone up since July, and you said that you've been drinking more recently, so do you see the connection there?",AnnoMI-derived authentic counseling turn,substance-use counseling
45,"Give a brief, empathetic counseling response focused on recovery and safety.",I have been using drugs again and I feel like I am losing control.,Thank you for being honest about that. It sounds like the drug use is feeling increasingly difficult to control. What would you most like to change about your situation right now? Your willingness to talk about this is already a meaningful step. We can work through it gradually.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - loss of control
46,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, sometimes.","Mm-hmm, and when you're hanging out with friends, is there ever alcohol involved?",AnnoMI-derived authentic counseling turn,substance-use counseling
47,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, I mean, I guess- I guess I need some strategies for figuring out how to ease stress without, I guess, getting high.","Okay. Um, what is it that you wanna get out of being here?",AnnoMI-derived authentic counseling turn,substance-use counseling
48,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Definitely.,"So Tom, this infection is been pretty painful for you but we have antibiotics. If you take it faithfully for 10 days, I'm sure that your infection will be gone. Can you do that?",AnnoMI-derived authentic counseling turn,substance-use counseling
49,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,I don’t want that.,"It's just the scene that they're-they're still in because their life maybe hasn't taken that change that your life has made. And so now, you're here and you're not sure. You want the baby, but you're not sure about the suburbs and the picket fence thing. You're not sure—",AnnoMI-derived authentic counseling turn,substance-use counseling
50,Use motivational interviewing principles to respond to this substance-use concern.,"I was doing well in recovery, but I had a relapse.",A relapse does not erase the progress you made. Would you be willing to look at what was happening before the relapse so you can identify what might help next time?,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - relapse
51,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Okay. Um, I know that it's bad for me. It's-it's bad for my body. It's bad for-for-for-for being on the team, for being an athlete. It hinders my performance. Just, I don't know. I-I feel that my-my friends pressure me. I don't know. I feel I should like go with different friend groups. Maybe. I don't know.","-and you're on a team, you have to stick by the rules.",AnnoMI-derived authentic counseling turn,substance-use counseling
52,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Okay.,"Yeah, that's certainly true. I'd also like to ask about some health habits that can contribute to high blood pressure.",AnnoMI-derived authentic counseling turn,substance-use counseling
53,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, you know how those union workers have to have you know, Union break.",It's great,AnnoMI-derived authentic counseling turn,substance-use counseling
54,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, like what kind of issues would that cause if any?",Wha-what's the big deal if you're drinking and—,AnnoMI-derived authentic counseling turn,substance-use counseling
55,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Whatever you know and her friends. I think a lot of her friend's parents don't smoke and I'm constantly running like outside to smoke and-and-,Could be?,AnnoMI-derived authentic counseling turn,substance-use counseling
56,Provide a non-judgmental counseling response to a person struggling with drug use.,I do not think my drug use is as serious as my family thinks.,"It sounds like you and your family see the situation differently. Rather than judging you, I would like to understand your view. What concerns, if any, do you have about your drug use? You do not have to figure everything out at once. We can focus on one manageable step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - readiness
57,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"-and-and say, ""Okay, I'm not gonna have it at home-",Okay.,AnnoMI-derived authentic counseling turn,substance-use counseling
58,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, I mean, most of my problems always go back to money. You know, i-if I had more money, I could afford daycare, I could work less hours, you know? So, yeah. It's-it's normally related to money.",Anything else?,AnnoMI-derived authentic counseling turn,substance-use counseling
59,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I don't know. I guess if my friends, like if one of my friends decided to like quit with me, that would probably help too, but I-- all my friends love to smoke, so I don't see that happening in the near future.","Sure. And back to that scale, you mentioned, you said you were a two. What do you think it would take to move you up to a four or five?",AnnoMI-derived authentic counseling turn,substance-use counseling
60,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,"Mm. Okay. Alright. Well, um, I know a little about why you're here today-",AnnoMI-derived authentic counseling turn,substance-use counseling
61,"Give a brief, empathetic counseling response focused on recovery and safety.","I am trying to change, but I do not know what triggers my drug use.","We can explore that together without judgment. Think about the moments before you usually use: where are you, who are you with, and what emotions or thoughts are present? You do not have to figure everything out at once. We can focus on one manageable step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - trigger identification
62,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,No. I-I don't know. It's normal for university students I feel.,All right. Do you have any concerns at all about your alcohol use?,AnnoMI-derived authentic counseling turn,substance-use counseling
63,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,I don't have any plans to quit. It's just something I'm thinking about.,Okay.,AnnoMI-derived authentic counseling turn,substance-use counseling
64,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Right, exactly.","So, it's already piled I'm thinking up for you, you don't need anything else so you're looking for some relief and not something to make you feel worse.",AnnoMI-derived authentic counseling turn,substance-use counseling
65,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Like how many drinks?,Got it. So you've-you've had some pretty heavy drinking. What-what do you think is the most you've ever had?,AnnoMI-derived authentic counseling turn,substance-use counseling
66,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I think those two and, um, respect.",Okay.,AnnoMI-derived authentic counseling turn,substance-use counseling
67,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um. Well, there's the expense, you know. Wi-with the economy and all, um, I- I have to be careful about my money and so, um, there is the extra expense of if I'm buying more of them than I used to. So the-the money aspect is also a concern.",Yeah. So we're noticing some pretty negative effects in terms of your oral health with the smoking. Are there any other things that you're concerned about?,AnnoMI-derived authentic counseling turn,substance-use counseling
68,Act as a recovery-support counselor and encourage reflection and a realistic next step.,I want to recover but I am afraid of what life will be like without drugs.,"That fear makes sense because recovery can involve major changes. What parts of life without drugs worry you most, and what kind of support might make those changes feel safer?",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - fear of recovery
69,Respond as a supportive addiction counselor using motivational interviewing.,"I was doing well in recovery, but I had a relapse.","A relapse does not erase the progress you made. Would you be willing to look at what was happening before the relapse so you can identify what might help next time? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - relapse
70,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,"Mm-hmm. So, you've seen a lot of other kids who-",AnnoMI-derived authentic counseling turn,substance-use counseling
71,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, well, I can talk to my housemate tomorrow night. I'm pretty sure that he doesn't work tomorrow night so he'll be around.",What kind of plan could you put in place to make sure you meet these goals?,AnnoMI-derived authentic counseling turn,substance-use counseling
72,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Oh, really?","Yeah. So, so if-if your doctor says it's okay with the Wellbutrin, one-- uh, we see very little if any weight gain-",AnnoMI-derived authentic counseling turn,substance-use counseling
73,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,A little bit.,"So, is that surprising to you?",AnnoMI-derived authentic counseling turn,substance-use counseling
74,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, and for work, you know, I'm a server. So, I'm on my feet all day, you know, and it's-it's really tiring.","So, you're working, and then, on top of that, juggling being a single mom and going to school?",AnnoMI-derived authentic counseling turn,substance-use counseling
75,"Give a brief, empathetic counseling response focused on recovery and safety.",I feel ashamed because I promised myself I would stop.,It sounds like you are carrying a lot of shame. You deserve support rather than judgment. What would be one compassionate and realistic step you could take toward recovery today? You do not have to figure everything out at once. We can focus on one manageable step.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - shame
76,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,-I'd have no social life if I didn't.,Yeah.,AnnoMI-derived authentic counseling turn,substance-use counseling
77,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"You know, it's kind of like the ""why"" that it's like-",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
78,Act as a recovery-support counselor and encourage reflection and a realistic next step.,"I want to stop using drugs, but I keep going back to them.","It sounds like you genuinely want to stop, while something keeps pulling you back. What do you think makes stopping especially difficult for you? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - ambivalence
79,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah. [chuckles],"That's a good way to be, right?",AnnoMI-derived authentic counseling turn,substance-use counseling
80,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Mm-hmm. I really shouldn't have done it.,You realize it's something you shouldn't have done.,AnnoMI-derived authentic counseling turn,substance-use counseling
81,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,"Okay. Well, that sounds good. So, why don't we meet again in a couple of weeks and you kind of update me on how cutting back on your drinking has gone, and also, what it was like when you met with a social worker? Sound good?",AnnoMI-derived authentic counseling turn,substance-use counseling
82,"Give a brief, empathetic counseling response focused on recovery and safety.","I am trying to change, but I do not know what triggers my drug use.","We can explore that together without judgment. Think about the moments before you usually use: where are you, who are you with, and what emotions or thoughts are present? There is no need to judge yourself while we explore what happened. Understanding the pattern can help you make a different choice.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - trigger identification
83,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, my wife is making me be here today. Uh, she thinks that it's a problem that I'm smoking weed, so she said, ""You need to go and get some help.""",Tell me a little bit about what brings you today.,AnnoMI-derived authentic counseling turn,substance-use counseling
84,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Thanks. You too.,That’s great. All the very best then.,AnnoMI-derived authentic counseling turn,substance-use counseling
85,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,A nice phone call.,And what would you like me to do if you don't come back?,AnnoMI-derived authentic counseling turn,substance-use counseling
86,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Oh, well I have one brother he's older than me, about nine years older than me.","Great. And then, um, tell me a little bit about your family?",AnnoMI-derived authentic counseling turn,substance-use counseling
87,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, well, I mean, clearly I don't feel good right now. Um, and it's-- I definitely feel more productive when I don't have a hangover. Uh, so I see a benefit.",Tell me more about that.,AnnoMI-derived authentic counseling turn,substance-use counseling
88,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, I'm just I'm not eating properly anymore, I'm just eating less or just getting takeaway, getting crap food and-",Okay.,AnnoMI-derived authentic counseling turn,substance-use counseling
89,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Right.,"-having an easier time with achieving your academic and career goals, and just sort of not having to deal with some of the consequences that your peers do.",AnnoMI-derived authentic counseling turn,substance-use counseling
90,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,-forms.,Okay.,AnnoMI-derived authentic counseling turn,substance-use counseling
91,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,A lot at this point because I feel that's a big factor with gaining back my trust with my mother.,"How important is it to you to make, uh, an adjustment in your drinking or even to quit?",AnnoMI-derived authentic counseling turn,substance-use counseling
92,Provide a non-judgmental counseling response to a person struggling with drug use.,"My family keeps telling me to get help, but I do not know where to start.",Reaching out can be a strong first step. Would you be open to talking with a qualified addiction counselor or healthcare professional about support options that fit your situation?,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - professional help
93,Use motivational interviewing principles to respond to this substance-use concern.,"I want to make healthier choices, but I feel stuck.",Feeling stuck can make change seem overwhelming. What is one small change that feels realistic this week and could move you a little closer to the life you want? Your willingness to talk about this is already a meaningful step. We can work through it gradually.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - small steps
94,Act as a recovery-support counselor and encourage reflection and a realistic next step.,I have been using drugs again and I feel like I am losing control.,"Thank you for being honest about that. It sounds like the drug use is feeling increasingly difficult to control. What would you most like to change about your situation right now? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - loss of control
95,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"No. No, I just feel that way. I get really-- I get very defensive about when they bring-- cause I get it from my family doc, from my cardiologist, everybody. I'm like, I'm not a complete fool. I am for smoking, but—","Well, I don't think I'm giving you a lecture, that's certainly not what I meant. I--",AnnoMI-derived authentic counseling turn,substance-use counseling
96,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, hopefully, go to college, get, you know, good enough grades to go to college.","Okay. And, what kinds of things do you plan for your life?",AnnoMI-derived authentic counseling turn,substance-use counseling
97,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I mean, just cigarette. Um, so it's always, like, it's-it's a duel kind of problem I think-",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
98,"Give a brief, empathetic counseling response focused on recovery and safety.","I am trying to change, but I do not know what triggers my drug use.","We can explore that together without judgment. Think about the moments before you usually use: where are you, who are you with, and what emotions or thoughts are present? Your willingness to talk about this is already a meaningful step. We can work through it gradually.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - trigger identification
99,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, I have one sister.",Okay. Do you have brothers or sisters?,AnnoMI-derived authentic counseling turn,substance-use counseling
100,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I really should do. Or shouldn't I,","It’s really tough. It's hard to know where to start, isn't it?",AnnoMI-derived authentic counseling turn,substance-use counseling
101,Use motivational interviewing principles to respond to this substance-use concern.,I have been using drugs again and I feel like I am losing control.,"Thank you for being honest about that. It sounds like the drug use is feeling increasingly difficult to control. What would you most like to change about your situation right now? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - loss of control
102,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah. Uh, maybe a couple more.","Okay. And then when you do drink alcohol, you typically have five or six drinks.",AnnoMI-derived authentic counseling turn,substance-use counseling
103,"Give a brief, empathetic counseling response focused on recovery and safety.",I want to rebuild trust with my family after my drug use.,"Rebuilding trust can take time, and your wish to repair those relationships is meaningful. What is one consistent action you could take that would show your family you are working toward recovery? You do not have to figure everything out at once. We can focus on one manageable step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - family trust
104,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,It's not.,Yeah. Throwing up is never fun.,AnnoMI-derived authentic counseling turn,substance-use counseling
105,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,And that can't be a ten there's nothing as ten in life I feel. Like there's too many factors but I feel like I'm determined to.,Okay.,AnnoMI-derived authentic counseling turn,substance-use counseling
106,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,"So, one or two weekends a month you're in a situation where there is alcohol?",AnnoMI-derived authentic counseling turn,substance-use counseling
107,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,The-the availability of it is there.,AnnoMI-derived authentic counseling turn,substance-use counseling
108,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,I don't know.,"Katie, we know that many kids come to college and have a lot of stress and deal with a lot of anxiety, and we've also found that when they talk to our counselors and learn specific skills about dealing with anxiety, they do much better. Um, and it's been really successful for a lot of kids. Um, I'm wondering if you think it might be helpful for you?",AnnoMI-derived authentic counseling turn,substance-use counseling
